year,month,job_role,job_openings,avg_salary_usd,remote_pct,python_pct,aws_pct,gdp_growth,vc_funding_tech_bn,emerging_flag
2020,1,Software Engineer,45000,92000,20,80,40,2.1,50.2,0
2020,1,Data Scientist,12500,105000,25,90,50,2.1,50.2,0
2020,1,DevOps Engineer,8200,110000,30,70,85,2.1,50.2,0
2020,1,Cybersecurity Analyst,6800,98000,15,50,30,2.1,50.2,0
2020,1,AI Research Scientist,3500,135000,10,95,40,2.1,50.2,1
2020,1,Cloud Architect,5200,125000,25,60,90,2.1,50.2,0
2020,1,Blockchain Developer,1800,128000,35,65,30,2.1,50.2,1
2020,1,Data Engineer,9500,102000,20,85,65,2.1,50.2,0
2020,1,Full Stack Developer,38000,95000,15,75,45,2.1,50.2,0
2020,1,Network Engineer,12000,89000,10,40,50,2.1,50.2,0
2020,1,IT Project Manager,15000,115000,5,30,40,2.1,50.2,0
2020,1,UX/UI Designer,22000,85000,30,20,10,2.1,50.2,0
2020,1,Database Administrator,11000,93000,15,50,60,2.1,50.2,0
2020,1,Systems Administrator,14000,87000,10,45,55,2.1,50.2,0
2020,1,QA Engineer,16000,82000,15,60,30,2.1,50.2,0
2020,2,Software Engineer,45500,92500,21,81,42,2,50.5,0
2020,2,Data Scientist,12800,106000,26,91,52,2,50.5,0
2020,2,DevOps Engineer,8400,111000,31,71,86,2,50.5,0
2020,2,Cybersecurity Analyst,7000,99000,16,52,32,2,50.5,0
2020,2,AI Research Scientist,3600,136000,11,96,42,2,50.5,1
2020,2,Cloud Architect,5300,126000,26,61,91,2,50.5,0
2020,2,Blockchain Developer,1850,129000,36,66,31,2,50.5,1
2020,2,Data Engineer,9600,103000,21,86,66,2,50.5,0
2020,2,Full Stack Developer,38500,95500,16,76,46,2,50.5,0
2020,2,Network Engineer,12100,89500,11,41,51,2,50.5,0
2020,2,IT Project Manager,15100,116000,6,31,41,2,50.5,0
2020,2,UX/UI Designer,22100,85500,31,21,11,2,50.5,0
2020,2,Database Administrator,11100,93500,16,51,61,2,50.5,0
2020,2,Systems Administrator,14100,87500,11,46,56,2,50.5,0
2020,2,QA Engineer,16100,82500,16,61,31,2,50.5,0
2020,3,Software Engineer,46000,93000,22,82,43,1.9,51,0
2020,3,Data Scientist,13000,107000,27,92,53,1.9,51,0
2020,3,DevOps Engineer,8600,112000,32,72,87,1.9,51,0
2020,3,Cybersecurity Analyst,7200,100000,17,53,33,1.9,51,0
2020,3,AI Research Scientist,3700,137000,12,97,43,1.9,51,1
2020,3,Cloud Architect,5400,127000,27,62,92,1.9,51,0
2020,3,Blockchain Developer,1900,130000,37,67,32,1.9,51,1
2020,3,Data Engineer,9700,104000,22,87,67,1.9,51,0
2020,3,Full Stack Developer,39000,96000,17,77,47,1.9,51,0
2020,3,Network Engineer,12200,90000,12,42,52,1.9,51,0
2020,3,IT Project Manager,15200,117000,7,32,42,1.9,51,0
2020,3,UX/UI Designer,22200,86000,32,22,12,1.9,51,0
2020,3,Database Administrator,11200,94000,17,52,62,1.9,51,0
2020,3,Systems Administrator,14200,88000,12,47,57,1.9,51,0
2020,3,QA Engineer,16200,83000,17,62,32,1.9,51,0
2020,4,Software Engineer,46500,93500,23,83,44,1.8,51.5,0
2020,4,Data Scientist,13200,108000,28,93,54,1.8,51.5,0
2020,4,DevOps Engineer,8800,113000,33,73,88,1.8,51.5,0
2020,4,Cybersecurity Analyst,7400,101000,18,54,34,1.8,51.5,0
2020,4,AI Research Scientist,3800,138000,13,98,44,1.8,51.5,1
2020,4,Cloud Architect,5500,128000,28,63,93,1.8,51.5,0
2020,4,Blockchain Developer,1950,131000,38,68,33,1.8,51.5,1
2020,4,Data Engineer,9800,105000,23,88,68,1.8,51.5,0
2020,4,Full Stack Developer,39500,96500,18,78,48,1.8,51.5,0
2020,4,Network Engineer,12300,90500,13,43,53,1.8,51.5,0
2020,4,IT Project Manager,15300,118000,8,33,43,1.8,51.5,0
2020,4,UX/UI Designer,22300,86500,33,23,13,1.8,51.5,0
2020,4,Database Administrator,11300,94500,18,53,63,1.8,51.5,0
2020,4,Systems Administrator,14300,88500,13,48,58,1.8,51.5,0
2020,4,QA Engineer,16300,83500,18,63,33,1.8,51.5,0
2020,5,Software Engineer,47000,94000,24,84,45,1.7,52,0
2020,5,Data Scientist,13400,109000,29,94,55,1.7,52,0
2020,5,DevOps Engineer,9000,114000,34,74,89,1.7,52,0
2020,5,Cybersecurity Analyst,7600,102000,19,55,35,1.7,52,0
2020,5,AI Research Scientist,3900,139000,14,99,45,1.7,52,1
2020,5,Cloud Architect,5600,129000,29,64,94,1.7,52,0
2020,5,Blockchain Developer,2000,132000,39,69,34,1.7,52,1
2020,5,Data Engineer,9900,106000,24,89,69,1.7,52,0
2020,5,Full Stack Developer,40000,97000,19,79,49,1.7,52,0
2020,5,Network Engineer,12400,91000,14,44,54,1.7,52,0
2020,5,IT Project Manager,15400,119000,9,34,44,1.7,52,0
2020,5,UX/UI Designer,22400,87000,34,24,14,1.7,52,0
2020,5,Database Administrator,11400,95000,19,54,64,1.7,52,0
2020,5,Systems Administrator,14400,89000,14,49,59,1.7,52,0
2020,5,QA Engineer,16400,84000,19,64,34,1.7,52,0
2020,6,Software Engineer,47500,94500,25,85,46,1.6,52.5,0
2020,6,Data Scientist,13600,110000,30,95,56,1.6,52.5,0
2020,6,DevOps Engineer,9200,115000,35,75,90,1.6,52.5,0
2020,6,Cybersecurity Analyst,7800,103000,20,56,36,1.6,52.5,0
2020,6,AI Research Scientist,4000,140000,15,100,46,1.6,52.5,1
2020,6,Cloud Architect,5700,130000,30,65,95,1.6,52.5,0
2020,6,Blockchain Developer,2050,133000,40,70,35,1.6,52.5,1
2020,6,Data Engineer,10000,107000,25,90,70,1.6,52.5,0
2020,6,Full Stack Developer,40500,97500,20,80,50,1.6,52.5,0
2020,6,Network Engineer,12500,91500,15,45,55,1.6,52.5,0
2020,6,IT Project Manager,15500,120000,10,35,45,1.6,52.5,0
2020,6,UX/UI Designer,22500,87500,35,25,15,1.6,52.5,0
2021,1,Software Engineer,51000,98500,45,91,53,1.2,65,0
2021,1,Data Scientist,15500,118000,50,100,65,1.2,65,0
2021,1,DevOps Engineer,10800,123000,55,82,97,1.2,65,0
2021,1,Cybersecurity Analyst,9500,112000,40,65,45,1.2,65,0
2021,1,AI Research Scientist,5000,148000,35,100,55,1.2,65,1
2021,1,Cloud Architect,6800,138000,50,72,100,1.2,65,0
2021,1,Blockchain Developer,2800,142000,60,78,45,1.2,65,1
2021,1,Data Engineer,11200,115000,45,97,78,1.2,65,0
2021,1,Full Stack Developer,44000,102000,40,87,58,1.2,65,0
2021,1,Network Engineer,13500,96000,35,55,65,1.2,65,0
2021,1,IT Project Manager,16500,128000,30,45,55,1.2,65,0
2021,1,UX/UI Designer,23500,92000,55,35,25,1.2,65,0
2021,1,Database Administrator,12500,99500,40,65,75,1.2,65,0
2021,1,Systems Administrator,15500,94000,35,60,70,1.2,65,0
2021,1,QA Engineer,17500,89000,40,75,45,1.2,65,0
2021,1,AI Ethics Engineer,800,152000,70,85,30,1.2,65,1
2021,2,Software Engineer,51500,99000,46,92,54,1.3,66,0
2021,2,Data Scientist,15800,119000,51,100,66,1.3,66,0
2021,2,DevOps Engineer,11000,124000,56,83,98,1.3,66,0
2021,2,Cybersecurity Analyst,9700,113000,41,66,46,1.3,66,0
2021,2,AI Research Scientist,5200,149000,36,100,56,1.3,66,1
2021,2,Cloud Architect,7000,139000,51,73,100,1.3,66,0
2021,2,Blockchain Developer,3000,143000,61,79,46,1.3,66,1
2021,2,Data Engineer,11400,116000,46,98,79,1.3,66,0
2021,2,Full Stack Developer,44500,103000,41,88,59,1.3,66,0
2021,2,Network Engineer,13700,97000,36,56,66,1.3,66,0
2021,2,IT Project Manager,16700,129000,31,46,56,1.3,66,0
2021,2,UX/UI Designer,23700,92500,56,36,26,1.3,66,0
2021,2,Database Administrator,12700,100000,41,66,76,1.3,66,0
2021,2,Systems Administrator,15700,95000,36,61,71,1.3,66,0
2021,2,QA Engineer,17700,89500,41,76,46,1.3,66,0
2021,2,AI Ethics Engineer,900,153000,71,86,31,1.3,66,1
2021,3,Software Engineer,52000,99500,47,93,55,1.4,67,0
